1002,-11.65,0.008,0.77,40.38,81,81
2226,-6.23,0.009,0.85,35.97,306,307
5436,-3.55,0.011,0.76,32.23,611,613
3018,-5.0,0.014,0.77,35.14,753,756
3727,-4.43,0.012,0.84,34.32,938,941
1217,-9.89,0.008,0.71,33.36,961,965
1558,-8.1,0.012,0.76,30.68,1003,1008
1808,-7.26,0.011,0.82,35.65,1005,1010
6040,-3.35,0.013,0.79,33.27,1205,1211
7730,-3.01,0.012,0.78,33.26,1286,1293
3464,-4.59,0.014,0.77,33.17,1340,1348
9148,-2.84,0.012,0.88,34.59,1408,1417
4000,-4.27,0.01,0.94,32.29,1416,1426
2593,-5.58,0.013,0.85,39.4,1452,1463
5265,-3.62,0.011,0.84,34.52,1468,1480
16488,-2.35,0.012,0.81,33.28,1716,1729
1212,-9.96,0.009,0.81,23.72,1727,1741
835,-13.63,0.009,0.74,26.29,1728,1743
3082,-4.97,0.015,0.81,37.92,1754,1770
3213,-4.87,0.012,0.88,32.69,1778,1794
2126,-6.45,0.012,0.86,30.47,1792,1810
5341,-3.6,0.011,0.85,32.94,1805,1824
934,-12.43,0.012,0.88,34.99,1859,1879
10437,-2.69,0.011,0.83,31.41,1939,1959
22082,-2.22,0.011,0.85,33.81,2088,2110
12809,-2.56,0.011,0.92,33.19,2096,2119
1329,-9.31,0.009,0.95,44.93,2121,2145
7927,-2.99,0.012,0.81,33.28,2295,2320
731,-15.33,0.019,0.76,42.61,2296,2322
17304,-2.35,0.012,0.85,34.3,2497,2524
3412,-4.73,0.012,0.94,35.72,2507,2535
8461,-2.95,0.012,0.87,34.89,2542,2571
7192,-3.17,0.01,0.94,35.21,2568,2598
1906,-7.0,0.012,0.9,26.22,2569,2600
20084,-2.29,0.011,0.88,34.43,2644,2676
5359,-3.67,0.01,0.95,38.23,2644,2677
3884,-4.29,0.01,0.83,30.58,2674,2708
22886,-2.23,0.011,0.87,34.66,3138,3173
17378,-2.33,0.012,0.9,33.88,3166,3202
15915,-2.4,0.012,0.93,34.56,3177,3214
4531,-3.97,0.012,0.88,32.42,3268,3306
4782,-3.9,0.01,0.95,34.45,3274,3312
1375,-9.01,0.014,0.89,38.18,3274,3312
20742,-2.23,0.011,0.87,35.01,3460,3499
7761,-3.05,0.01,0.93,32.55,3474,3514
2212,-6.24,0.011,0.8,37.59,3474,3515
14911,-2.46,0.012,0.91,33.46,3511,3553
19225,-2.32,0.011,0.93,33.46,3514,3557
4436,-4.03,0.01,0.93,33.12,3514,3558
13443,-2.54,0.012,0.93,31.95,3542,3587
18012,-2.37,0.012,0.94,34.17,3552,3598
10114,-2.77,0.011,0.9,33.3,3561,3607
10931,-2.71,0.012,0.95,32.47,3568,3614
1095,-10.87,0.011,0.91,38.09,3581,3627
4287,-4.13,0.011,0.94,32.45,3594,3641
8347,-2.98,0.012,0.9,35.06,3596,3643
6723,-3.26,0.011,0.88,35.3,3598,3645
4117,-4.2,0.011,0.91,32.42,3600,3647
8337,-3.01,0.011,0.93,32.12,3612,3659
10439,-2.76,0.011,0.93,33.41,3622,3669
15428,-2.44,0.012,0.9,34.59,3623,3670
18312,-2.34,0.012,0.92,34.7,3719,3766
3547,-4.57,0.01,0.89,36.18,3728,3776
21910,-2.22,0.011,0.92,33.39,3728,3776
3648,-4.49,0.013,0.89,32.73,3746,3795
19155,-2.33,0.01,0.95,33.06,3759,3809
1778,-7.39,0.013,0.89,33.74,3759,3809
5536,-3.58,0.013,0.94,35.15,3759,3809
13368,-2.51,0.01,0.9,33.5,3789,3840
12840,-2.56,0.011,0.93,33.05,3801,3853
7528,-3.13,0.012,0.93,32.89,3804,3856
14518,-2.5,0.01,0.94,34.33,3820,3872
11338,-2.65,0.012,0.9,34.65,3824,3877
1044,-11.36,0.011,0.98,32.33,3824,3877
2547,-5.68,0.011,0.88,34.06,3828,3881
11302,-2.69,0.011,0.93,33.32,3830,3883
13941,-2.5,0.012,0.9,35.63,3835,3889
5430,-3.62,0.01,0.91,30.7,3836,3891
2864,-5.24,0.011,0.9,32.12,3836,3891
6842,-3.23,0.01,0.91,32.92,3840,3896
3692,-4.48,0.011,0.94,34.2,3840,3896
9708,-2.8,0.01,0.93,36.13,3845,3901
10310,-2.76,0.012,0.92,37.09,3864,3920
8361,-2.97,0.011,0.92,34.5,3865,3921
4058,-4.28,0.011,0.97,35.12,3866,3922
10466,-2.74,0.011,0.94,33.28,3866,3923
1775,-7.4,0.01,0.93,28.22,3877,3934
17300,-2.35,0.011,0.92,34.54,3890,3947
6619,-3.3,0.012,0.91,35.18,3908,3966
7766,-3.09,0.011,0.95,33.51,3908,3967
16828,-2.37,0.011,0.93,32.68,3923,3982
2427,-5.91,0.011,0.94,35.94,3923,3982
8055,-3.04,0.01,0.91,33.73,3929,3988
16401,-2.4,0.011,0.94,32.95,3933,3993
6259,-3.38,0.011,0.95,37.36,3940,4000
12792,-2.6,0.01,0.95,33.87,3941,4001
1246,-9.76,0.014,0.86,34.11,3941,4001
10506,-2.76,0.011,0.93,32.68,3943,4003
7246,-3.15,0.011,0.9,35.09,3951,4011
1167,-10.25,0.014,0.8,42.68,3951,4012
3600,-4.52,0.012,0.88,34.54,3952,4014
5404,-3.61,0.011,0.92,35.51,3952,4015
922,-12.56,0.02,0.88,36.46,3952,4015
4716,-3.92,0.011,0.93,32.24,3953,4016
16390,-2.4,0.011,0.9,34.44,3960,4023
1440,-8.73,0.01,0.97,26.95,3960,4023
3215,-4.89,0.011,0.92,37.24,3960,4023
4924,-3.81,0.012,0.93,34.61,3960,4024
2587,-5.63,0.012,0.94,30.77,3960,4024
6852,-3.24,0.012,0.93,34.9,3962,4027
1230,-9.9,0.01,0.91,31.22,3963,4028
15920,-2.4,0.012,0.93,33.68,3963,4029
9017,-2.88,0.011,0.91,34.44,3967,4033
689,-16.24,0.011,0.89,26.87,3967,4033
10723,-2.72,0.011,0.92,33.79,3985,4051
7039,-3.17,0.012,0.9,32.54,3985,4051
6004,-3.43,0.011,0.88,34.96,3985,4051
5358,-3.67,0.012,0.94,37.0,4019,4086
9305,-2.84,0.011,0.92,35.04,4022,4090
3940,-4.32,0.013,0.91,33.73,4031,4099
29919,-2.13,0.012,0.93,34.91,4065,4133
9196,-2.86,0.011,0.92,31.9,4065,4134
3240,-4.83,0.013,0.89,33.74,4066,4136
14809,-2.47,0.011,0.92,33.53,4073,4143
16980,-2.37,0.011,0.93,33.5,4074,4144
